original,tamanho,novo
acostamento,11,acost
administracao,13,adm
altitudegeometrica,18,altgeom
altitudeortometrica,19,altorto
alturaaproximada,16,altaprox
alturaestimada,14,alturaest
alturalamina,12,alturalam
alturamediaindividuos,21,altmedia
alturatorreaer,14,alttorre
anodereferencia,15,anoref
antropizada,11,antrop
aptidaooperacional,18,aptidaoop
areaoficial,11,areaof
areavalvulas,12,areavalv
bombeamento,11,bomb
caladomaxseca,13,caladomax
canteirodivisorio,17,cantdiv
cargasuportmaxima,17,cargamax
causaexposicao,14,causaexp
classeativecon,14,classeecon
classificacao,13,classific
classificacaoporte,18,classporte
codequipdesenvsocial,20,codedsvsoc
codidentificadorunico,21,codeiduni
codtrechoferrov,15,codferrov
codtrechorod,12,codrod
concessionaria,14,concess
cotacomprovada,14,cotacomp
cultivopredominante,19,cultivpred
datamedicao,11,datamed
datasituacaojuridica,20,datasit
denominacaoassociada,20,denominac
destinacaocemiterio,19,destcemit
divisaoativecon,15,divativeco
dominialidade,13,dominialid
eletrificada,12,eletrif
emarruamento,12,emarruam
emperimetrourbano,17,emperiurb
espacamentoindividuos,21,espacament
especiepredominante,19,especiepre
estadofisico,12,estadfisic
extensaotrecho,14,extensaotr
finalidadedep,13,findep
finalidadepatio,15,finpat
formaextracao,13,formextr
gabhorizsup,11,gabhorisup
geometriaaproximada,19,geoaprox
grupoativecon,13,grupativec
grupoetnico,11,grupetni
historicomodificacoes,21,historico
homologacao,11,homolog
identificador,13,identific
largurafaixaservidao,20,largfaixa
larguramedia,12,largmed
latitude_gms,12,lat_gms
latitudegms,11,latgms
limitevelocidade,16,limveloc
localizacaoequipdesenvsocial,28,locdevsoc
longitude_gms,13,long_gms
longitudegms,12,longgms
matcondutor,11,matcond
materialpredominante,20,matpred
necessitamanutencao,19,necmanut
nivelatencao,12,nivelat
numerometrico,13,nummetrico
numeropavimentos,16,numpav
numerosequencial,16,numseq
operacional,11,operacion
organizacao,11,organiz
orgaoenteresp,13,orgentresp
outrarefalt,11,outrefalt
outrarefplan,12,outrefplan
pavimentacao,12,paviment
perimetrooficial,16,perimof
periodicidadeinunda,19,periodinun
pesosuportmaximo,16,pesomax
posicaopista,12,posicpista
posicaorelativa,15,posicrel
posicaoreledific,16,posicreled
possuitrechodrenagem,20,possuidren
potenciaout,11,potenciaou
procextracao,12,procext
profundidade,12,profund
proximidade,11,proximid
redereferencia,14,rederef
referencialaltim,16,refalt
referencialgrav,15,refgrav
revestimento,12,revest
secaoativecon,13,secaoateco
sistemageodesico,16,sistemgeod
situacaoagua,12,situaagua
situacaocosta,13,situacosta
situacaoemagua,14,situemagua
situacaoespacial,16,situaespac
situacaofisica,14,situafisic
situacaojuridica,16,situajur
situacaomarco,13,situamarco
tipoalterantrop,15,tipoalter
tipoareaumida,13,tipoareaum
tipoassociado,13,tipoassoc
tipoatracad,11,tipoatrac
tipocaminhoaereo,16,tipocaminh
tipocampoquadra,15,tpcampquad
tipocemiterio,13,tipocem
tipocombustivel,15,tipocomb
tipoconteudo,12,tipocont
tipocurvanivel,14,tipocurv
tipodelimfis,12,tipodelim
tipodepgeral,12,tipodepge
tipoedifabast,13,tipoabast
tipoedifaero,12,tipoaero
tipoedifagropec,15,tipoagrop
tipoedifcomercserv,18,tipocomser
tipoedifcomunic,15,tipocomun
tipoedifenergia,15,tipoener
tipoediflazer,13,tipolaz
tipoedifmetroferrov,19,tipometro
tipoedifport,12,tipoport
tipoedifpubcivil,16,tipopubciv
tipoedifrelig,13,tiporelig
tipoedifrod,11,tiporod
tipoedifsaneam,14,tiposaneam
tipoedifturist,14,tipotur
tipoelemnat,11,tipoelemna
tipoelevador,12,tipoelev
tipoembarcacao,14,tipoemb
tipoentroncamento,17,tipoentr
tipoequipagropec,16,tipoequip
tipoequipdesenvsocial,21,tpeqpdvsoc
tipoestgerad,12,tipogerad
tipoexposicao,13,tipoexpo
tipofontedagua,14,tipofont
tipofundeadouro,15,tipofundea
tipoinstalmilitar,17,tipomil
tipolavoura,11,tipolav
tipolocalidade,14,tipoloc
tipomanguezal,13,tipomang
tipomarcolim,12,tipomarco
tipomassadagua,14,tipomassa
tipopassagviad,14,tipopassag
tipopavimentacao,16,tipopav
tipopistacomp,13,tppistacom
tipoplataforma,14,tipoplat
tipopocomina,12,tipopoco
tipopostofisc,13,tipopost
tipoproduto,11,tipoprod
tipoprodutoresiduo,18,tpprodres
tipoptoestmed,13,tipoptoest
tipoptorefgeodtopo,18,tipoptoref
tipoquebramolhe,15,tipoqueb
tiporepdiplomatica,18,tiporedipl
tiposumvert,11,tiposumver
tipoterrexp,11,tipoterexp
tipotravessia,13,tipotraves
tipotravessiaped,16,tipoped
tipotrechocomunic,17,tipocomuni
tipotrechodrenagem,18,tipodrenag
tipotrechoduto,14,tipoduto
tipotrechoferrov,16,tipoferrov
tipounidprotegida,17,tipoporte
tipounidprotinteg,17,tipoprotin
tipounidusosust,15,tiposust
tipousocaminhoaer,17,tpusocamin
tipousoedif,11,tipoedif
unidadefederacao,16,unidadefed
unidadevolume,13,unidadevol
usoprincipal,12,usoprinc
valorgravidade,14,valorgrav
valorvolume,11,valorvol
vaolivrehoriz,13,vaolivreho
vaovertical,11,vaovert
